title,original_title,budget,genres,language,spoken_languages,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,production_countries
Waiting for Bojangles,En attendant Bojangles,0,"['Drama', 'Comedy', 'Romance']",fr,"['English', 'French', 'Spanish']",,"A boy and his eccentric parents leave their home in Paris for a country house in Spain. As the mother descends deeper into her own mind, it's up to the boy and his father to keep her safe and happy.",16.179,124,0,2021-10-13,7.371,302,"['France', 'United States of America']"
I Love My Dad,I Love My Dad,0,['Comedy'],en,['English'],http://www.magpictures.com/ilovemydad/,A hopelessly estranged father catfishes his son in an attempt to reconnect.,13.295,90,0,2022-08-05,5.8,43,['United States of America']
A Love Song,A Love Song,0,"['Drama', 'Romance']",en,"['English', 'Spanish']",,"Two childhood sweethearts, now both widowed, share a night by a lake in the mountains.",15.445,81,278562,2022-07-29,6.9,37,['United States of America']
Alone Together,Alone Together,0,"['Romance', 'Drama']",en,['English'],,"Strangers June and Charlie wind up double-booked in the same upstate New York Airbnb during the start of COVID-19. Exasperating the situation, the lockdown forces them both to stay and confront the unexpected feelings that develop between them.",10.131,101,0,2022-07-22,5.035,43,['United States of America']
Art of Love,Romantik Hırsız,0,"['Romance', 'Action', 'Drama']",tr,['Turkish'],https://www.netflix.com/title/81689799,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",57.309,99,0,2024-03-13,6.527,112,['Turkey']
2099: The Soldier Protocol,The Wheel,0,"['Action', 'Science Fiction']",en,['English'],https://www.thewheelmovie.com/,"Sometime in the near future, paraplegic prison inmate Matt Mills meets ""The Board"" of Satoshi-Telefair Industries, who thank him for joining the Program. Under pressure and with a promise to make him walk again, Mills agrees to volunteer. He is injected with a synthetic nanomaterial and suffocated, only to wake up with restored use of his legs, yet alone in a steel cell in the first spoke of an experimental apparatus - The Wheel. A series of assailants inflict a multitude of damage to Mills' body and torment his mind, yet the synthetic nanomaterial not only restores his damaged organs, it re-engineers his strength. The experiment might be designed to kill, but Mills is determined to survive - and get back to his daughter before The Board finds her first.",6.222,82,0,2019-09-02,5.0,13,['Australia']
Thor: Love and Thunder,Thor: Love and Thunder,250000000,"['Fantasy', 'Action', 'Comedy']",en,['English'],https://www.marvel.com/movies/thor-love-and-thunder,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",127.854,119,760900000,2022-07-06,6.464,7242,['United States of America']
Both Sides of the Blade,Avec amour et acharnement,0,"['Drama', 'Romance']",fr,['French'],https://www.bothsidesoftheblade.com/,"Jean and Sara have been living together for 10 years. When they first met, Sara was living with François, Jean’s best friend and an admirer from back when he played rugby. Jean and Sara love each other. One day, Sara sees François in the street. He does not notice her, but she is overtaken by the sensation that her life could suddenly change. François gets back in touch with Jean. For the first time in years. He suggests they start working together again. From here on, things spiral out of control.",13.861,117,1747438,2022-07-08,5.47,83,['France']
Fire of Love,Fire of Love,0,['Documentary'],en,"['French', 'English', 'Portuguese', 'Spanish']",https://films.nationalgeographic.com/fire-of-love,"A doomed love triangle between intrepid French scientists Katia and Maurice Krafft, and their beloved volcanoes.",16.243,93,0,2022-07-06,7.53,186,"['Canada', 'United States of America']"
Art of Love,Romantik Hırsız,0,"['Romance', 'Action', 'Drama']",tr,['Turkish'],https://www.netflix.com/title/81689799,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",57.309,99,0,2024-03-13,6.527,112,['Turkey']
